country_iso3c	lang	qs_id	text	issue	position
SWE	swe	11110_200609_00008	Vi vill ge människor möjligheten att leva i ett Sverige där jämställdhet mellan könen råder	integration	supportive
SWE	swe	11110_200609_00009	och där lika rättigheter för alla är en självklarhet.	integration	supportive
SWE	swe	11110_200609_00010	Flyktingpolitiken ska göras human	immigration	supportive
SWE	swe	11110_200609_00012	Förslagen i vårt valmanifest grundar sig i en trefaldig solidaritet:	immigration	supportive
SWE	swe	11110_200609_00016	Alla barn har rätt till ett liv i kärlek, respekt och utan diskriminering.	integration	supportive
SWE	swe	11110_200609_00017	Varje barn måste bli sedd och få möjlighet att utvecklas utifrån sina egna förutsättningar.	integration	supportive
SWE	swe	11110_200609_00132	Vi vill stärka och utöka lokala antidiskrimineringsbyråer.	integration	supportive
SWE	swe	11110_200609_00133	Stor vikt ska läggas vid att motverka grogrunderna för rasism och diskriminering.	integration	supportive
SWE	swe	11110_200609_00134	Vi vill ha en generös flyktingpolitik där alla människor behandlas med respekt.	immigration	supportive
SWE	swe	11110_200609_00135	Barnets bästa ska sättas främst i all bedömning av flyktingärenden.	immigration	neutral
SWE	swe	11110_200609_00136	Den som på grund av myndigheternas hantering väntat längre ä nett år på ett slutgiltigt besked på sin asylansökan ska automatiskt få uppehållstillstånd	immigration	supportive
SWE	swe	11220_200609_00022	kön	integration	supportive
SWE	swe	11220_200609_00023	och etnicitet	immigration	neutral
SWE	swe	11220_200609_00081	kön	integration	supportive
SWE	swe	11220_200609_00082	eller etnicitet.	immigration	supportive
SWE	swe	11220_200609_00085	och lagen mot etnisk diskriminering skärpas i tillämpningen.	integration	supportive
SWE	swe	11220_200609_00087	för att bryta rasistiska	integration	neutral
SWE	swe	11220_200609_00088	och sexistiska strukturer,	integration	supportive
SWE	swe	11220_200609_00092	Turordningsreglerna och företrädesrätten ska återställas.	integration	supportive
SWE	swe	11220_200609_00093	Utländsk arbetskraft ska inte utnyttjas eller diskrimineras.	integration	supportive
SWE	swe	11220_200609_00125	och mångfald.	integration	supportive
SWE	swe	11220_200609_00245	Det behövs också mer personal med annat modersmål än svenska.	integration	supportive
SWE	swe	11220_200609_00355	Den som har varit utsatt för sexuell exploatering	integration	supportive
SWE	swe	11220_200609_00356	eller förföljelse på grund av kön eller sexuell läggning och söker asyl i Sverige ska kunna få status som flykting.	immigration	supportive
SWE	swe	11220_200609_00357	Vi är motståndare till EU:s allt hårdare flyktingpolitik	immigration	sceptical
SWE	swe	11220_200609_00358	och verkar för att denna ska ersättas av en generös tolkning av asylrätten	immigration	supportive
SWE	swe	11220_200609_00359	och, som ett led i denna strävan, för att Sverige ska lämna Schengensamarbetet.	immigration	supportive
SWE	swe	11220_200609_00360	Väljarna i Frankrike och Nederländerna avvisade förslaget till ny konstitution för EU i folkomröstningar. Vänsterpartiet kommer att motsätta sig varje försök att lyfta förslaget igen	immigration	neutral
SWE	swe	11220_200609_00370	mot rasismens makt ställer vi antirasism,	integration	supportive
SWE	swe	11320_200609_00071	Ofta är de unga eller har utländsk bakgrund.	integration	supportive
SWE	swe	11320_200609_00228	Människor drabbas av hatbrott på grund av sina åsikter, sitt ursprung eller sin sexuella läggning.	integration	supportive
SWE	swe	11320_200609_00257	eller ökad segregation.	integration	supportive
SWE	swe	11320_200609_00329	Under mandatperioden vill vi förbättra mottagandet av nyanlända.	immigration	supportive
SWE	swe	11320_200609_00330	Det ska gå snabbt att komma i arbete.	integration	sceptical
SWE	swe	11320_200609_00331	Vi vill stärka undervisningen i svenska för invandrare.	immigration	neutral
SWE	swe	11320_200609_00332	Ett personligt etableringskontrakt ska finnas för alla nyanlända flyktingar som bygger på tydliga rättigheter och skyldigheter.	integration	supportive
SWE	swe	11320_200609_00333	Alla insatser måste anpassas så att varje individ får det stöd man har behov av.	integration	neutral
SWE	swe	11320_200609_00336	Intolerans och fördomar ska bekämpas.	integration	supportive
SWE	swe	11320_200609_00337	All diskriminering är oacceptabel –	integration	supportive
SWE	swe	11320_200609_00339	etnicitet,	integration	neutral
SWE	swe	11320_200609_00341	sexuell läggning,	integration	supportive
SWE	swe	11320_200609_00342	religion eller	integration	supportive
SWE	swe	11320_200609_00373	Vår flyktingpolitik ska vara human och solidarisk.	immigration	supportive
SWE	swe	11320_200609_00374	Den som är i behov av skydd ska få en fristad i vårt land.	immigration	supportive
SWE	swe	11320_200609_00375	Alla ska ha rätt till en individuell och rättssäker prövning av sina asylskäl.	integration	supportive
SWE	swe	11420_200609_00023	Sverige kommer för alltid att vara ett mångkulturellt land med olika religioner och kulturer sida vid sida – bara om vi ser det och bejakar det blir vi framgångsrika.	integration	supportive
SWE	swe	11420_200609_00025	Världen blir farligare, trots att mycket utvecklas åt rätt håll.	immigration	supportive
SWE	swe	11420_200609_00033	ett fungerande rättssamhälle	integration	supportive
SWE	swe	11420_200609_00035	och, sist men inte minst, en samhällsmodell där alla människor – män och kvinnor, invandrare och svenskfödda – får komma till sin rätt och har samma rättigheter och skyldigheter.	integration	supportive
SWE	swe	11420_200609_00037	Folkpartiet står för ett alternativ, en socialliberal samhällsmodell.	integration	supportive
SWE	swe	11420_200609_00056	Vi fullföljer det arbetet i vår tid.	integration	supportive
SWE	swe	11420_200609_00058	Svensk integrationspolitik har misslyckats.	integration	sceptical
SWE	swe	11420_200609_00163	En halv miljon människor bor i dessa utanförskapsområden,	integration	neutral
SWE	swe	11420_200609_00164	av vilka en majoritet är invandrade eller barn till invandrade personer. Det ger utanförskapet en etnisk dimension som är ytterst problematisk	integration	supportive
SWE	swe	11420_200609_00165	och föder en destruktiv vi-mot-dom-känsla.	integration	supportive
SWE	swe	11420_200609_00166	Att bryta utanförskapet kräver en lång rad åtgärder. Det socialdemokratiska misslyckandet kommer inte helt kunna repareras på några få år,	integration	supportive
SWE	swe	11420_200609_00175	kombinerat med språkinlärning	integration	sceptical
SWE	swe	11420_200609_00180	Principerna ska naturligtvis vara desamma för alla, invandrare såväl som svenskfödda.	integration	supportive
SWE	swe	11420_200609_00182	Den som däremot är frisk och arbetsför, men ändå inte vill delta, förlorar rätten till bidrag	integration	sceptical
SWE	swe	11420_200609_00183	– erfarenhetsmässigt beror det i många fall på att personerna föredrar att försörja sig genom svartarbete.	integration	supportive
SWE	swe	11420_200609_00184	Nyinflyttade flyktingar och flyktinganhöriga som har rätt till introduktionsersättning ska också omfattas av garantin.	integration	supportive
