country	party
fr	ps
fr	fn
fr	udf
fr	mnr
fr	vg
fr	pcf
fr	ump
fr	rpr
fr	mpf
fr	mod
fr	fdg
fr	mlp
be	sp.a
be	vb
be	vu
be	cvp
be	vld
be	agalev
be	nva
be	spa
be	sp
be	cd&v
be	groen
be	mr
be	psc
be	fn
be	ecolo
be	ps
be	prl
be	cdh
nl	d66
nl	cda
nl	pvda
nl	lpf
nl	gl
nl	vvd
nl	cu
nl	pvv
nl	pvdd
nl	sp
es	ciu
es	bng
es	pp
es	pnv
es	iu
es	cc
es	psoe
es	pxc
ie	sf
ie	ff
ie	labour
ie	sp
ie	ind
ie	green
ie	lab
ie	sd
ie	fg
ie	pd
ie	renua
ie	pbp
ie	ula
ie	ddi
ie	gr
us	dem
us	rep
us	pro
us	srd
us	dem breckingridge
us	whig
ch	fdp
ch	ldu
ch	svp
ch	glp
ch	edu
ch	gps
ch	sps
ch	mcg
ch	cvp
ch	sd
ch	evp
ch	bdp
ch	guten
ch	grüne
ch	piraten
ch	up
ch	fpap
ch	pda
ch	csp
ch	fp
uk	snp
uk	libdem
uk	lab
uk	lib
uk	dup
uk	bnp
uk	plaid
uk	ukip
uk	can
uk	con
uk	green
uk	brexit
uk	sinnfein
uk	greens
uk	sdlp
uk	ulster_union
sa	dpda
sa	anc
sa	dadp
sa	eff
sa	ifp
at	spö
at	övp
at	bzö
at	green
at	cpö
at	fpö
at	euaus
at	jetzt
at	lif
at	nbz
at	kpö
at	neos
at	grüne
at	wandel
