country,year,party,text,language
fr,1997,ps,"La France de demain doit être libre, forte et généreuse ; elle doit prendre sa pleine part à la construction d'une véritable communauté internationale, oeuvrer partout où elle le peut pour la paix, parler en pensant aux Etats les plus pauvres, militer pour l'indispensable prise en compte de l'environnement dans le développement économique. Cela commence en Europe.",fr
fr,1997,ps,"Plus de chômage, plus d'inégalités, plus d'impôts, plus d'exclusion, plus de précarité, voilà la ""facture sociale"" de la droite.",fr
fr,1997,ps,5. Maîtriser l'immigration et réussir l'intégration Supprimer les lois Pasqua-Debré,fr
fr,1997,ps,"Vieux pays d'immigration, la France veut maîtriser le flux de nouveaux travailleurs immigrés. Elle doit dans le même temps rester le pays du respect des droits de l'homme. La droite a mis en place une politique exclusivement répressive, sans souci aucun d'intégration. En mettant en cause l'accès automatique à la nationalité française des enfants de parents étrangers nés en France et le droit au renouvellement de la carte de séjour de 10 ans, la droite a porté atteinte aux principes de la République. Sa politique, c'est moins de libertés et plus d'insécurité.",fr
fr,1997,ps,"Nous supprimerons les lois Pasqua-Debré. Nous rétablirons les droits fondamentaux au mariage, à la vie en famille et le droit d'asile, ainsi que le code de la nationalité dans sa vision républicaine. Les résidents étrangers retrouveront leur droit au renouvellement de leur carte de dix ans. Nous développerons de nouveaux moyens de lutte contre l'immigration irrégulière et sanctionnerons vigoureusement les entreprises qui ne respecteront pas la loi. Nous instituerons avec les Etats d'origine une politique de coopération, afin de réguler et de contrôler les flux d'immigration.",fr
fr,2007,fn,"À la politique suicidaire d’une immigration sans frein et à l’ouverture inconsidérée de nos frontières à tous les dumpings sociaux, fiscaux et environnementaux, répondent, en effet, comme autant d’échos, le déclin démographique de notre Peuple et la perte d’identité et de leurs racines pour bon nombre de nos compatriotes. L’arrêt de l’immigration avec l’application du principe de préférence nationale et le codéveloppement. À l’origine de la plupart des maux dont souffre notre pays, la politique d’immigration menée depuis plus de trente ans par les gouvernements successifs a été constamment dénoncée par le Front National qui, dès sa création, a proposé toute une série de mesures qui n’ont en aucune manière cessé d’être d’actualité, et constituent l’un des fondamentaux de notre projet global. Longtemps considérée comme « tabou », la question des flux migratoires est désormais considérée comme centrale par l’ensemble des observateurs économiques et politiques. Le mur du silence et du mensonge se fissure, même si l’opacité demeure la règle, en matière de surcoût et de statistiques de la délinquance, par exemple. C’est ainsi que la Cour des comptes relevait dans un rapport thématique publié en 2004 que « toute évaluation paraît impossible. Même le Parlement ne peut disposer d’éléments certains. Aucun ministère n’évalue précisément les dépenses qu’il effectue en faveur de l’accueil et de l’intégration des immigrants. 6 millions : c’est le nombre des nouveaux résidents installés en France depuis 20 ans (et non pas deux millions comme le prétendait, il y a peu de temps encore, l’INSEE). 400 000 à 500 000 : c’est le nombre officiel de nouveaux immigrés qui entrent chaque année sur le territoire national dont 300 000 en situation « régulière » selon l’OCDE. 40 millions : c’est le nombre d’immigrés extra-communautaires vivant sur le sol européen, selon un rapport du Parlement européen. 60 milliards d’euros : c’est le montant du déficit annuel dû à l’immigration si l’on se réfère à l’actualisation 2005 du rapport Milloz, jamais réellement contredit. 700 millions d’euros : c’est le coût annuel de l’Aide médicale d’État (AME) réservée aux étrangers en situation illégale. 25 % : c’est le taux moyen annuel de la population étrangère en milieu carcéral, un taux qui avoisine probablement les 70 % si l’on prend en compte toute la population d’origine immigrée. 5 % : c’est le taux d’étrangers qui entrent en France avec un contrat de travail, ce qui signifie que 95 % entrent sans. 50 % des bénéficiaires du RMI sont étrangers. L’immigration est aujourd’hui d’origine planétaire. Elle peuple la France d’ayants droit pour qui, bien souvent, la seule affinité avec notre pays se limite aux avantages matériels qu’il leur procure. Cette immigration est poussée par le grand patronat pour qui elle est une délocalisation à domicile qui lui permet de compresser les coûts salariaux, et par la classe politique qui y voit une clientèle électorale facile. Aujourd’hui, les Français s’endettent pour financer des prestations sociales visant à répondre à la « misère du monde », avec pour conséquence les déficits permanents des comptes sociaux et les 2 000 milliards d’euros de dette publique qui menacent, à court terme, de faillite la Nation. Il ne saurait évidemment être question pour nous, au moment où les faits nous donnent raison, où l’opinion publique se dessille et où nos adversaires tentent de s’emparer du problème sans pour autant y apporter de réponses, d’abandonner notre programme ni de lui en substituer un autre. La mise en oeuvre d’une politique réaliste d’inversion des flux migratoires demeure pour le Front National une priorité comme doit l’être, une fois réalisé le préalable de l’arrêt de toute nouvelle immigration, la mise en oeuvre d’une nécessaire politique d’assimilation de ceux qui respectent nos lois et nos coutumes, acceptent les devoirs qui découlent des droits accordés, et considèrent la France comme leur Patrie, à l’exception de toute autre. Mettre en oeuvre une politique de dissuasion. Supprimer les « pompes aspirantes » en réservant les aides sociales diverses et les allocations familiales aux seuls Français et en réinstaurant, dans le cadre de nouvelles dispositions législatives, la préférence nationale pour les prestations sociales. Les cotisations de l’assurance Maladie et de l’assurance Chômage seront, ainsi, augmentées pour les étrangers à prestations équivalentes. Le RMI pour les étrangers ainsi que l’AME seront supprimés. Lancer une réforme du droit de la nationalité, en supprimant notamment la binationalité et l’acquisition automatique de la nationalité (celle-ci ne serait alors automatique que si l’on est de père ou de mère français). L’acquisition dépendrait alors de critères reposant sur la bonne conduite et le degré d’intégration. La déchéance de la nationalité pourra être prononcée par la juridiction concernée dans le cas de naturalisation acquise depuis moins de 10 ans et dans le cas de crime ou délit grave ayant entraîné une condamnation à plus de 6 mois de prison, non assortie de sursis. Mettre en oeuvre une politique de contrôle des frontières. Rétablir nos frontières en sortant de l’espace Schengen et en dénonçant les traités qui transfèrent à l’Union européenne les compétences en matière d’immigration, de droit d’asile et de visa. Faire appliquer les mesures d’éloignement du territoire et la législation sur le séjour illégal des étrangers ; tolérance zéro pour les réseaux organisés d’immigration clandestine. Mettre en oeuvre une politique de retour : gain estimé : 9 à 11 milliards d’euros. Supprimer le regroupement familial qui, depuis 1974, a transformé l’immigration de travailleurs en immigration de peuplement. Réduire la durée de la carte de séjour de 10 à 3 ans, y compris pour ceux qui se trouvent actuellement sur notre territoire. Rétablir l’expulsion des délinquants multi récidivistes étrangers. Mettre en oeuvre une politique de codéveloppement. Coupler le retour des immigrés avec l’aide à leur pays d’origine, proportionnelle à leur coopération en la matière. L’aide au développement pourrait alors être accrue en ciblant mieux les besoins des populations et en contrôlant l’utilisation des fonds. Prendre l’initiative d’organiser régulièrement une conférence euro-africaine réunissant les pays concernés afin de déterminer les besoins et de mettre en oeuvre les moyens destinés à fixer les populations attirées par les richesses de l’Europe, dans leurs pays d’origine. Mettre en oeuvre une politique d’assimilation. Insertion de la politique d’immigration dans un cadre plus global. On ne s’assimile pas à un pays qui a oublié ses principes, ses valeurs et sa fierté. La politique qui sera initiée par le Président d’une République authentiquement nationale sera globale : c’est par le retour des valeurs familiales, la reconstruction d’une véritable instruction nationale, le rétablissement d’un service militaire volontaire de six mois, le respect du travail et le réapprentissage de la morale et de ce qui a fait l’histoire de France, que pourra s’opérer une réelle assimilation, avec les droits et les devoirs qu’elle implique. Refus du communautarisme et réaffirmation du principe de laïcité. Le principe de discrimination positive (préférence étrangère dans les faits) et ses effets pervers tels que certains volets de la Politique de la Ville seront supprimés. En dépit de l’absence organisée de statistiques sur le sujet, la surreprésentation de personnes issues de l’immigration dans la délinquance et la criminalité est un fait. Toute amélioration de la situation passe nécessairement par une régulation des flux migratoires (ces mesures sont l’objet du chapitre consacré à l’immigration). Mise en place de moyens importants pour la lutte contre l’immigration clandestine. Démantèlement par la police et la gendarmerie des réseaux du banditisme, des « grands frères » et des caïds maintenant en otages les populations immigrées. Développer les contrôles fiscaux et douaniers en vue de réprimer les trafics de tous ordres, dans les banlieues-ghettos, générateurs d’une véritable économie parallèle. Fermeture des mosquées sous la coupe d’obédiences intégristes prônant ouvertement le terrorisme et l’islamisme (mouvement salafiste et Tabligh). Le chômage de masse, le vieillissement de la population, l’immigration massive et les coûts de plus en plus élevés des thérapies médicales de pointe ont entraîné une diminution des recettes, par déficit de cotisations, en même temps qu’une augmentation permanente et naturelle des dépenses, en particulier pour la branche Maladie. Rétablissement de barrières douanières, de réindustrialisation, de réforme fiscale globale, de préférence nationale et familiale et d’arrêt de l’immigration. N’oublions pas enfin le scandale des immigrés clandestins hébergés dans des hôtels réquisitionnés par l’État aux frais du contribuable (près de 57 millions d’euros pour la seule ville. une véritable immigration sanitaire. De surcroît, la politique antifamiliale poursuivie a un objectif délibéré : substituer à la politique de démographie française, une politique de peuplement par l’immigration. Ces nouvelles élites devront bien sûr faire ensuite bénéficier de leurs compétences leur pays d’origine, au lieu de rester dans le nôtre en concurrençantlesjeunes Français. 20 % des nouvelles recrues sont désormais issues de l’immigration originaire du monde musulman. Renforcer la coopération avec les pays en voie de développement et coupler le codéveloppement avec le retour des immigrés Nous proposerons avec les pays d’émigration vers la France une nouvelle politique de coopération, afin de rendre plus équitables les termes de l’échange économique international, et plus stables les cours des matières premières qu’ils exportent. Ensemble, nous ferons en sorte que le retour de nombreux immigrés dans leurs pays d’origine soit pour ceux-ci un atout dans leur développement. La situation au Proche-Orient menace notamment l’approvisionnement en pétrole de notre économie et la sécurité de notre territoire, où des réseaux islamo-terroristes tentent de prendre en main certaines populations immigrées. L’ouverture des frontières, à la fois à l’intérieur de l’Europe, mais surtout au niveau mondial (OMC), a exposé la production nationale à la concurrence déloyale de pays dépourvus de protection sociale ou bénéficiant de coûts de main-d’oeuvre infiniment moins élevés que les nôtres, aboutissant à des délocalisations à grande échelle. Maîtriser les dépenses liées à l’immigration, préalable indispensable à une réduction des déficits publics. L’immigration d’ayants droit qui s’est substituée à l’immigration de travail se traduit en effet l’environnement la défense des sans-papiers ou le financement d’organisations d’extrême gauche. l’écologie ne devienne pas le prétexte à une politique d’immigration laxiste et à la préférence étrangère. L’immigration clandestine explose en Guyane, à Mayotte et dans les Antilles françaises. Elle entraîne une progression inquiétante de la délinquance. La Guyane détient le triste record de département français où le taux de délinquance est le plus élevé. Lutter contre l’insécurité et l’immigration clandestine. Dans certains départements et territoires, l’insécurité et l’immigration sauvage constituent de véritables fléaux qui doivent être combattus avec fermeté. Dégager des fonds en réduisant les subventions des associations dédiées à l’immigration. L’Europe est le premier continent d’immigration : 1,4 million d’entrées contre un peu plus d’1 million au Canada et aux États-Unis réunis, sans parler des entrées illégales qui seraient au minimum de 500 000 par an. Selon un rapport du Parlement européen, plus de 40 millions d’immigrés extra-communautaires vivraient en Europe. La Banque mondiale envisage d’ici à 2050 d’en faire venir 79 millions pour maintenir la population active de l’Europe à son niveau actuel. La Commission refuse d’enfermer l’Union européenne dans des frontières fixes : « l’Union européenne est définie par ses valeurs, plus que par ses limites géographiques fixes ». Cela vise clairement la Turquie ! La libre circulation pour les clandestins régularisés (1 500 000 par l’Italie et l’Espagne) ne vaut pas pour les Européens de l’Est qui ont besoin d’un passeport pour circuler dans l’Union européenne. Face à l’arrivée massive de clandestins sur tout le territoire européen, la Commission européenne a décidé de créer le 3 octobre 2005, FRONTEX, une agence européenne de gestion des frontières extérieures de l’UE. C’est un gadget coûteux et dérisoire. Une dizaine de directives, ou « lois européennes » sont aujourd’hui en vigueur et régissent le droit d’entrer et de résider sur le territoire de l’Union, l’attribution des visas, le droit de séjour, la procédure d’octroi du statut de réfugié ou encore le droit au regroupement familial. Toutes ces directives (datant de 2003 et 2004) participent au même but : rendre plus facile l’immigration vers le territoire communautaire par l’harmonisation accélérée des politiques d’immigration et d’asile. Depuis le traité d’Amsterdam en 1999, l’immigration clandestine, le séjour irrégulier et le rapatriement des clandestins sont tombés dans la compétence communautaire. Seule l’immigration légale est encore (pour combien de temps ?) de compétence nationale. Charbonnier doit être maître chez lui !... Les emplois qualifiés se développent aussi dans les pays émergents et les travailleurs peu qualifiés sont aussi en Europe, en particulier avec l’accélération de l’immigration non européenne. Rétablir les contrôles aux frontières intérieures de l’Europe ainsi que dénoncer les accords de Schengen et toutes les dispositions des traités qui transfèrent à l’Union européenne les compétences en matière d’immigration, de droit d’asile, de visa et de conditions d’entrée et de séjour sur le territoire européen. Il s’agit de refuser une politique commune et unique d’immigration. Exiger des contrôles renforcés aux frontières extérieures de l’Union, notamment les frontières maritimes, véritables portes d’entrée de l’Europe, notamment pour l’immigration africaine. Par ailleurs, les procédures de discrimination positive pour les concours d’entrée aux grandes écoles tendent à se généraliser, sur le modèle de ce qui a été fait à Sciences Po. Désormais, il va devenir normal que les jeunes issus de l’immigration, bénéficient d’une procédure allégée par rapport aux autres étudiants. Désormais, il va devenir normal que les jeunes issus de l’immigration, bénéficient d’une procédure allégée par rapport aux autres étudiants.",fr
fr,2012,fn,"Un plan d’action volontariste sera mis en oeuvre pour identifier et réduire drastiquement les dépenses inutiles et néfastes pour le pays : fraude sociale et fiscale, niches fiscales inefficaces (comme la niche dite « Copé » au bénéfice des grands groupes), coûts de la décentralisation, poids de l’immigration incontrôlée sur les budgets sociaux. Une grande politique nataliste sera préférée à une immigration coûteuse et déstabilisante.",fr
fr,2012,fn,IMMIGRATION RÉTABLIR L’AUTORITÉ DE L’ÉTAT DR IMMIGRATION RÉTABLIR L’AUTORITÉ DE L’ÉTAT DR INVERSER LA TENDANCE !,fr
fr,2012,fn,L’immigration légale sera réduite de 200000 entrées par an à 10000 entrées par an en privilégiant les talents qui permettront le rayonnement de notre pays et l’innovation.,fr
fr,2012,fn,Toute personne qui entre ou se maintient,fr
