Afrikaans	af	Ek hou van om in die natuur te wandel.
Ancient Greek	grc	Χαίρετε, ὦ κόσμε!
Ancient Hebrew	hbo	שָׁלוֹם לָכֶם
Arabic	ar	السلام عليكم ورحمة الله وبركاته
Armenian	hy	Բարեւ, աշխարհ!
Basque	eu	Kaixo mundua!
Belarusian	be	Прывітанне, свет!
Bulgarian	bg	Здравейте, свят!
Buryat	bxr	Сайн байна уу?
Catalan	ca	Hola, món!
Chinese (Simplified)	zh-hans	你好，世界！
Chinese (Traditional)	zh-hant	你好，世界！
Classical Chinese	lzh	世界安好
Coptic	cop	Ϩⲟⲩⲧⲁⲧⲏⲣⲓⲟⲛⲁⲧⲓ ϭⲟⲟⲩⲧ ⲛ̀ⲧⲉⲛⲁⲩⲧⲏⲣ
Croatian	hr	Pozdrav, svijete!
Czech	cs	Ahoj, světe!
Danish	da	Hej verden!
Dutch	nl	Hallo, wereld!
English	en	Hello, world!
Erzya	myv	Тевеме варянтись!
Estonian	et	Tere, maailm!
Faroese	fo	Halló, heimur!
Finnish	fi	Hei, maailma!
French	fr	Bonjour, le monde !
Galician	gl	Ola, mundo!
German	de	Hallo, Welt!
Gothic	got	𐌷𐌰𐌽𐍃, 𐌰𐌷𐍄𐌹𐌿𐍃!
Greek	el	Γεια σας, κόσμε!
Hebrew	he	שלום עולם
Hindi	hi	नमस्ते, दुनिया!
Hungarian	hu	Helló, világ!
Icelandic	is	Halló, heimur!
Indonesian	id	Halo, dunia!
Irish	ga	Dia dhuit, domhan!
Italian	it	Ciao, mondo!
Japanese	ja	こんにちは、世界！
Kazakh	kk	Сәлеметсіздерге, өткен!
Korean	ko	안녕하세요, 세계!
Kurmanji	kmr	Silav, cîhan!
Kyrgyz	ky	Саламатсыздарга, дүйнө!
Latin	la	Salve, mundus!
Latvian	lv	Sveiki, pasaule!
Ligurian	lij	Ciao, mondo!
Lithuanian	lt	Labas, pasauli!
Maghrebi Arabic French	qaf	السلام عليكم، عالم!
Maltese	mt	Bongu, dinja!
Manx	gv	Laa rieau, yn cheer!
Marathi	mr	हॅलो, जग!
Naija	pcm	How far, world!
North Sami	sme	Čázeheaddji, oktavuohta!
Norwegian	nb	Hei, verden!
Norwegian Nynorsk	nn	Hei, verda!
Old Church Slavonic	cu	Здрaвѣй, свѣтѣ!
Old East Slavic	orv	Здрaвѣй, миръ!
Old French	fro	Salut, monde!
Persian	fa	سلام، جهان!
Polish	pl	Witaj, świecie!
Pomak	qpm	Здравей, свят!
Portuguese	pt	Olá, mundo!
Romanian	ro	Salut, lume!
Russian	ru	Привет, мир!
Sanskrit	sa	नमस्ते, लोक!
Scottish Gaelic	gd	Hàlo, saoghal!
Serbian	sr	Здраво, свете!
Slovak	sk	Ahoj, svet!
Slovenian	sl	Zdravo, svet!
Spanish	es	¡Hola, mundo!
Swedish	sv	Hej, världen!
Tamil	ta	வணக்கம், உலகே!
Telugu	te	హలో, ప్రపంచం!
Turkish	tr	Merhaba, dünya!
Turkish German	qtd	Merhaba, dünya!
Ukrainian	uk	Привіт, світ!
Upper Sorbian	hsb	Hellos, swět!
Urdu	ur	ہیلو، دنیا!
Uyghur	ug	ھەلەلۇ، دۇنيا!
Vietnamese	vi	Chào bạn, thế giới!
Welsh	cy	Helo, byd!
Western Armenian	hyw	Ողջույն, աշխարհ!
Wolof	wo	Nopp naa ngi ci biir!
